Provider,Service Name,URL,City,Country,Status,IP Version,Hosting Provider,C Number,Airport Code,Airport Code Number,ISP Name,CDN Type,Zone Name,Region,Parent Region,Latitude,Longitude
Google,pops,https://peering.google.com/#/infrastructure,Moscow,Russian Federation,Active,,,,,0,,,,,,55.756,37.617
Google,pops,https://peering.google.com/#/infrastructure,Mumbai,India,Active,,,,,0,,,,,,19.076,72.878
Google,pops,https://peering.google.com/#/infrastructure,Munich,Germany,Active,,,,,0,,,,,,48.135,11.582
Google,pops,https://peering.google.com/#/infrastructure,Muscat,Oman,Active,,,,,0,,,,,,23.61,58.54
Google,pops,https://peering.google.com/#/infrastructure,Kotwali Tehsil,India,Active,,,,,0,,,,,,28.635,77.225
Google,pops,https://peering.google.com/#/infrastructure,New York,United States,Active,,,,,0,,,,,,40.706,-73.978
Google,pops,https://peering.google.com/#/infrastructure,Osaka,Japan,Active,,,,,0,,,,,,34.694,135.502
Google,pops,https://peering.google.com/#/infrastructure,Palo Alto,United States,Active,,,,,0,,,,,,37.442,-122.143
Google,pops,https://peering.google.com/#/infrastructure,Paris,France,Active,,,,,0,,,,,,48.857,2.352
Google,pops,https://peering.google.com/#/infrastructure,Prague,Czechia,Active,,,,,0,,,,,,50.076,14.438
Google,pops,https://peering.google.com/#/infrastructure,Rio de Janeiro,Brazil,Active,,,,,0,,,,,,-22.908,-43.197
Google,pops,https://peering.google.com/#/infrastructure,Saint Petersburg,Russian Federation,Active,,,,,0,,,,,,59.934,30.335
Google,pops,https://peering.google.com/#/infrastructure,San Jose,United States,Active,,,,,0,,,,,,37.339,-121.895
Google,pops,https://peering.google.com/#/infrastructure,Santiago,Chile,Active,,,,,0,,,,,,-33.469,-70.642
Google,pops,https://peering.google.com/#/infrastructure,São Paulo,Brazil,Active,,,,,0,,,,,,-23.551,-46.633
Google,pops,https://peering.google.com/#/infrastructure,Seattle,United States,Active,,,,,0,,,,,,47.606,-122.332
Google,pops,https://peering.google.com/#/infrastructure,Singapore,Singapore,Active,,,,,0,,,,,,1.28,103.851
Google,pops,https://peering.google.com/#/infrastructure,Sofia,Bulgaria,Active,,,,,0,,,,,,42.698,23.322
Google,pops,https://peering.google.com/#/infrastructure,Stockholm,Sweden,Active,,,,,0,,,,,,59.329,18.065
Google,pops,https://peering.google.com/#/infrastructure,Sydney,Australia,Active,,,,,0,,,,,,-33.867,151.207
Google,pops,https://peering.google.com/#/infrastructure,Taipei,"Taiwan, Province of China",Active,,,,,0,,,,,,25.091,121.56
Google,pops,https://peering.google.com/#/infrastructure,Shinjuku,Japan,Active,,,,,0,,,,,,35.689,139.692
Google,pops,https://peering.google.com/#/infrastructure,Old Toronto,Canada,Active,,,,,0,,,,,,43.653,-79.383
Google,pops,https://peering.google.com/#/infrastructure,Zurich,Switzerland,Active,,,,,0,,,,,,47.369,8.539
Google,pops,https://peering.google.com/#/infrastructure,Bogota,Colombia,Active,,,,,0,,,,,,4.598,-74.076
Google,pops,https://peering.google.com/#/infrastructure,Warsaw,Poland,Active,,,,,0,,,,,,52.227,21.004
Google,pops,https://peering.google.com/#/infrastructure,Brussels,Belgium,Active,,,,,0,,,,,,50.85,4.349
Google,pops,https://peering.google.com/#/infrastructure,Doha,Qatar,Active,,,,,0,,,,,,25.286,51.535
Google,pops,https://peering.google.com/#/infrastructure,Helsinki,Finland,Active,,,,,0,,,,,,60.192,24.946
Google,pops,https://peering.google.com/#/infrastructure,Special Capital Region of Jakarta,Indonesia,Active,,,,,0,,,,,,-6.2,106.817
Google,pops,https://peering.google.com/#/infrastructure,Manila,Philippines,Active,,,,,0,,,,,,14.6,120.984
Google,pops,https://peering.google.com/#/infrastructure,Salt Lake City,United States,Active,,,,,0,,,,,,40.759,-111.876
Google,pops,https://peering.google.com/#/infrastructure,Seoul,"Korea, Republic of",Active,,,,,0,,,,,,37.533,127.025
Google,pops,https://peering.google.com/#/infrastructure,Herzliya,Israel,Active,,,,,0,,,,,,32.166,34.843
Google,ggcs,https://peering.google.com/#/infrastructure,Matsapha,Eswatini,Active,,,,,0,,,,,,-26.52,31.314
Google,ggcs,https://peering.google.com/#/infrastructure,Lago Sul,Brazil,Active,,,,,0,,,,,,-15.871,-47.919
Google,ggcs,https://peering.google.com/#/infrastructure,Hà Nội,Viet Nam,Active,,,,,0,,,,,,21.221,105.807
Google,ggcs,https://peering.google.com/#/infrastructure,Tajiri,Japan,Active,,,,,0,,,,,,34.427,135.244
Google,ggcs,https://peering.google.com/#/infrastructure,Tbilisi,Georgia,Active,,,,,0,,,,,,41.669,44.955
Google,ggcs,https://peering.google.com/#/infrastructure,Saint Croix District,United States,Active,,,,,0,,,,,,17.702,-64.799
