Provider,Service Name,URL,City,Country,Status,IP Version,Hosting Provider,C Number,Airport Code,Airport Code Number,ISP Name,CDN Type,Zone Name,Region,Parent Region,Latitude,Longitude
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,London,United Kingdom,Active,IPv6,,c033,LHR,1,Virginmedia,ISP,,,,51.467,-0.466
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Seattle,United States,Active,IPv4,CenturyLink Communications,c003,SEA,2,Centurylink,ISP,,,,47.448,-122.31
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Madrid,Spain,Active,IPv4,Netflix Streaming Services Inc.,c029,MAD,1,,IXP,,,,40.494,-3.566
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Amsterdam,Netherlands,Active,IPv4,Netflix Streaming Services Inc.,c078,AMS,1,,IXP,,,,52.309,4.765
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dallas-Fort Worth,United States,Active,IPv4,Netflix Streaming Services Inc.,c345,DFW,1,,IXP,,,,32.894,-97.041
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,San Jose,United States,Active,IPv4,Netflix Streaming Services Inc.,c002,SJC,6,,IXP,,,,37.365,-121.927
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Halifax,Canada,Active,IPv4,Netflix Streaming Services Inc.,c014,YHZ,1,Bellaliant,ISP,,,,44.881,-63.509
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Lafayette,United States,Active,IPv4,,c001,LFT,1,Suddenlink,ISP,,,,30.209,-91.984
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Naga,Philippines,Active,IPv4,,c001,WNP,1,Convergeict,ISP,,,,13.582,123.267
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Chiang Mai,Thailand,Active,IPv4,,c002,CNX,1,Trueinternet,ISP,,,,18.77,98.965
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dublin,Ireland,Active,IPv4,,c002,DUB,1,Btireland,ISP,,,,53.425,-6.266
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Fargo,United States,Active,IPv4,,c002,FAR,1,Dcn,ISP,,,,46.917,-96.819
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Vienna,Austria,Active,IPv4,,c002,VIE,1,,IXP,,,,48.108,16.567
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Phoenix,United States,Active,IPv4,,c004,PHX,1,Centurylink,ISP,,,,33.436,-112.01
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dusseldorf,Germany,Active,IPv4,,c010,DUS,1,,IXP,,,,51.285,6.762
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Ezeiza,Argentina,Active,IPv4,,c010,EZE,4,Prima,ISP,,,,-34.82,-58.533
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Newark,United States,Active,IPv4,,c052,EWR,2,,IXP,,,,40.69,-74.172
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Stockholm,Sweden,Active,IPv4,,c055,ARN,1,,IXP,,,,59.652,17.919
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dallas-Fort Worth,United States,Active,IPv4,,c117,DFW,3,,IXP,,,,32.897,-97.038
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Miami,United States,Active,IPv4,,c119,MIA,3,,IXP,,,,25.795,-80.289
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,San Jose,United States,Active,IPv4,,c194,SJC,2,,IXP,,,,37.366,-121.926
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Miami,United States,Active,IPv4,,c201,MIA,3,,IXP,,,,25.792,-80.292
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dallas-Fort Worth,United States,Active,IPv4,,c230,DFW,1,,IXP,,,,32.901,-97.034
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Paris,France,Active,IPv6,,c009,CDG,1,,IXP,,,,49.011,2.549
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Miami,United States,Active,IPv6,,c200,MIA,3,,IXP,,,,25.796,-80.288
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Chicago,United States,Active,IPv6,,c407,ORD,1,,IXP,,,,41.98,-87.904
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,San Jose,United States,Active,IPv6,,c610,SJC,2,,IXP,,,,37.361,-121.93
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Geneva,Switzerland,Active,IPv4,,c001,GVA,1,Swisscom,ISP,,,,46.239,6.11
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Perth,Australia,Active,IPv4,,c001,PER,1,Vodafonehutchison,ISP,,,,-31.941,115.967
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Belo Horizonte,Brazil,Active,IPv4,,c001,PLU,1,Netfacil,ISP,,,,-19.852,-43.952
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Bauru,Brazil,Active,IPv4,,c002,BAU,1,Txfiber,ISP,,,,-22.341,-49.05
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dublin,Ireland,Active,IPv4,,c003,DUB,2,Btireland,ISP,,,,53.42,-6.271
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Belo Horizonte,Brazil,Active,IPv4,,c004,PLU,1,Century br,ISP,,,,-19.856,-43.955
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Santiago,Chile,Active,IPv4,,c004,SCL,1,Telxius,ISP,,,,-33.391,-70.784
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Brussels,Belgium,Active,IPv4,,c023,BRU,2,Proximus,ISP,,,,50.898,4.481
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Hebron,United States,Active,IPv6,,c001,CVG,7,Cinbell,ISP,,,,39.05,-84.667
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Ribeirao Preto,Brazil,Active,IPv6,,c003,RAO,1,Algar,ISP,,,,-21.137,-47.778
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Lisbon,Portugal,Active,IPv6,,c007,LIS,1,Meo,ISP,,,,38.78,-9.137
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Vancouver,Canada,Active,IPv4,Shaw Communications Inc.,c009,YVR,1,Shaw,ISP,,,,49.19,-123.188
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Pittsburgh,United States,Active,IPv4,Netflix Streaming Services Inc.,c016,PIT,2,,IXP,,,,40.496,-80.229
