Provider,Service Name,URL,City,Country,Status,Zone Name,Region,Parent Region,Latitude,Longitude
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Athens,Greece,Announced,eu-south-1-ath-1a,,Europe (Milan),37.976,23.735
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Bengaluru,India,Announced,ap-south-2-blr-1a,,Asia Pacific (Hyderabad),12.977,77.59
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Berlin,Germany,Announced,eu-central-1-ber-1a,,Europe (Frankfurt),52.517,13.389
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Bogotá,Colombia,Announced,us-east-1-bog-1a,,US East (N. Virginia),4.653,-74.084
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Brisbane,Australia,Announced,ap-southeast-2-bne-1a,,Asia Pacific (Sydney),-27.469,153.023
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Brussels,Belgium,Announced,eu-west-3-bru-1a,,Europe (Paris),50.847,4.352
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Chennai,India,Announced,ap-south-2-maa-1a,,Asia Pacific (Hyderabad),13.084,80.27
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Hanoi,Vietnam,Announced,ap-southeast-1-han-1a,,Asia Pacific (Singapore),21.028,105.854
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Johannesburg,South Africa,Announced,af-south-1-jnb-1a,,Africa (Cape Town),-26.205,28.05
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Lisbon,Portugal,Announced,eu-south-2-lis-1a,,Europe (Spain),38.708,-9.137
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Munich,Germany,Announced,eu-central-1-muc-1a,,Europe (Frankfurt),48.137,11.575
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Nairobi,Kenya,Announced,af-south-1-nbo-1a,,Africa (Cape Town),-1.283,36.817
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Oslo,Norway,Announced,eu-north-1-osl-1a,,Europe (Stockholm),59.913,10.739
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Prague,Czech Republic,Announced,eu-central-1-prg-1a,,Europe (Frankfurt),50.087,14.421
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Rio de Janeiro,Brazil,Announced,us-east-1-rio-1a,,US East (N. Virginia),-22.911,-43.209
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Toronto,Canada,Announced,ca-central-1-yto-1a,,Canada (Central),43.653,-79.384
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Vancouver,Canada,Announced,ca-central-1-yvr-1a,,Canada (Central),49.261,-123.114
Amazon,Local Zones,https://aws.amazon.com/about-aws/global-infrastructure/localzones/locations/,Vienna,Austria,Announced,eu-central-1-vie-1a,,Europe (Frankfurt),48.208,16.373
