Provider,Service Name,URL,City,Country,Status,IP Version,Hosting Provider,C Number,Airport Code,Airport Code Number,ISP Name,CDN Type,Zone Name,Region,Parent Region,Latitude,Longitude
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Chicago,United States,Active,IPv4,,c316,ORD,1,,IXP,,,,41.98,-87.903
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Tumaco,Colombia,Active,IPv6,,c002,TCO,1,Cnt,ISP,,,,1.812,-78.751
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Paris,France,Active,IPv6,,c015,CDG,1,,IXP,,,,49.017,2.554
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Miami,United States,Active,IPv6,,c116,MIA,3,,IXP,,,,25.797,-80.287
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Miami,United States,Active,IPv6,,c184,MIA,3,,IXP,,,,25.795,-80.289
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,San Jose,United States,Active,IPv6,,c635,SJC,2,,IXP,,,,37.36,-121.931
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Curitiba,Brazil,Active,IPv4,,c001,CWB,2,Telefonica br,ISP,,,,-25.531,-49.178
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Ilheus,Brazil,Active,IPv4,,c001,IOS,1,Libernet,ISP,,,,-14.812,-39.03
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Osaka,Japan,Active,IPv4,,c001,ITM,1,Kintetsu,ISP,,,,34.783,135.435
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Grenoble/Saint-Geoirs,France,Active,IPv4,,c004,GNB,1,Bouyguestelecom,ISP,,,,45.365,5.332
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Toulouse/Blagnac,France,Active,IPv4,,c004,TLS,1,Bouyguestelecom,ISP,,,,43.629,1.364
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Amsterdam,Netherlands,Active,IPv6,,c001,AMS,1,Xs4all,ISP,,,,52.306,4.762
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Doha,Qatar,Active,IPv6,,c001,DOH,1,Ooredooqa,ISP,,,,25.259,51.612
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Juiz De Fora,Brazil,Active,IPv6,,c001,JDF,1,Brasilnet,ISP,,,,-21.79,-43.386
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Buenos Aires,Argentina,Active,IPv6,,c003,AEP,5,Telecentro,ISP,,,,-34.558,-58.415
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Vienna,Austria,Active,IPv6,,c007,VIE,1,,IXP,,,,48.114,16.573
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Montpellier/Mediterranee,France,Active,IPv6,,c009,MPL,1,Bouyguestelecom,ISP,,,,43.572,3.959
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dallas-Fort Worth,United States,Active,IPv6,,c073,DFW,3,,IXP,,,,32.899,-97.035
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dallas-Fort Worth,United States,Active,IPv6,,c083,DFW,3,,IXP,,,,32.9,-97.035
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Eugene,United States,Active,IPv4,Peak Internet,c001,EUG,1,Peak,ISP,,,,44.127,-123.209
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Mexico City,Mexico,Active,IPv4,,c005,MEX,2,Telmex,ISP,,,,19.44,-99.069
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Atlanta,United States,Active,IPv4,Netflix Streaming Services Inc.,c010,ATL,3,,IXP,,,,33.639,-84.425
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Chicago,United States,Active,IPv4,Netflix Streaming Services Inc.,c072,ORD,1,,IXP,,,,41.975,-87.909
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Dallas-Fort Worth,United States,Active,IPv4,Netflix Streaming Services Inc.,c317,DFW,1,,IXP,,,,32.901,-97.034
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Guajara-Mirim,Brazil,Active,IPv4,VIDEOSAT SERVICOS DE INFORMATICA LTDA,c001,GJM,1,Videosat,ISP,,,,-10.783,-65.281
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Varginha,Brazil,Active,IPv4,Stratus Telecomunicacoes Ltda,c001,VAG,1,Stratus,ISP,,,,-21.587,-45.471
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Bursa,Turkey,Active,IPv4,TurkNet Iletisim Hizmetleri A.S.,c001,YEI,1,Turknet,ISP,,,,40.259,29.566
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Midrand,South Africa,Active,IPv4,Agile-Solutions-AS,c002,GCJ,1,Agilesolutions,ISP,,,,-25.986,28.14
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,London,United Kingdom,Active,IPv4,Community Fibre Limited,c002,LCY,1,Comfibre,ISP,,,,51.503,0.053
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Cardiff,United Kingdom,Active,IPv4,TalkTalk Communications Limited,c003,CWL,1,Talktalk,ISP,,,,51.399,-3.341
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Sao Paulo,Brazil,Active,IPv4,CLARO S.A.,c008,GRU,4,Claro br net,ISP,,,,-23.431,-46.469
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Leesburg,United States,Active,IPv4,Virgin Media,c028,LEE,1,Virginmedia,ISP,,,,28.823,-81.809
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Manizales,Colombia,Active,IPv6,EPM Telecomunicaciones S.A. E.S.P.,c001,MZL,1,Une,ISP,,,,5.028,-75.466
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,La Mesa,Honduras,Active,IPv6,UFINET PANAMA S.A.,c001,SAP,1,Ufinet gt,ISP,,,,15.451,-87.925
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Salvador,Brazil,Active,IPv6,BRASILEIRO TELECOM,c001,SSA,1,Brasileirotelecom,ISP,,,,-12.907,-38.321
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Salvador,Brazil,Active,IPv6,Turbozone Internet,c001,SSA,1,Turbozone,ISP,,,,-12.913,-38.327
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Seattle,United States,Active,IPv6,Google,c002,BFI,1,Starlink,ISP,,,,47.531,-122.301
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,London,United Kingdom,Active,IPv6,BTnet UK Regional network,c005,LHR,6,Bt,ISP,,,,51.473,-0.459
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Bristol,United Kingdom,Active,IPv6,Virgin Media,c006,BRS,1,Virginmedia,ISP,,,,51.379,-2.723
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Phoenix,United States,Active,IPv6,CenturyLink Communications,c014,PHX,3,Centurylink,ISP,,,,33.433,-112.014
